Total codepoints: 1114112
Divergent codepoints: 85119
Divergent ranges: 2487

By class pair:

  elixir=error:0 js=identifier:1 -> 82934 codepoints
  elixir=error:0 js=error:1 -> 1190 codepoints
  elixir=error:0 js=atom:1 -> 991 codepoints
  elixir=error:1 js=error:0 -> 3 codepoints
  elixir=identifier:1 js=error:0 -> 1 codepoints

Ranges:

525-525          | elixir=error:0 | js=identifier:1 (ȍ)
526-526          | elixir=error:0 | js=atom:1 (Ȏ)
527-527          | elixir=error:0 | js=identifier:1 (ȏ)
528-528          | elixir=error:0 | js=atom:1 (Ȑ)
529-529          | elixir=error:0 | js=identifier:1 (ȑ)
530-530          | elixir=error:0 | js=atom:1 (Ȓ)
531-531          | elixir=error:0 | js=identifier:1 (ȓ)
532-532          | elixir=error:0 | js=atom:1 (Ȕ)
533-533          | elixir=error:0 | js=identifier:1 (ȕ)
534-534          | elixir=error:0 | js=atom:1 (Ȗ)
535-535          | elixir=error:0 | js=identifier:1 (ȗ)
540-540          | elixir=error:0 | js=atom:1 (Ȝ)
541-541          | elixir=error:0 | js=identifier:1 (ȝ)
542-542          | elixir=error:0 | js=atom:1 (Ȟ)
543-543          | elixir=error:0 | js=identifier:1 (ȟ)
544-544          | elixir=error:0 | js=atom:1 (Ƞ)
545-545          | elixir=error:0 | js=identifier:1 (ȡ)
546-546          | elixir=error:0 | js=atom:1 (Ȣ)
547-547          | elixir=error:0 | js=identifier:1 (ȣ)
548-548          | elixir=error:0 | js=atom:1 (Ȥ)
549-549          | elixir=error:0 | js=identifier:1 (ȥ)
550-550          | elixir=error:0 | js=atom:1 (Ȧ)
551-551          | elixir=error:0 | js=identifier:1 (ȧ)
552-552          | elixir=error:0 | js=atom:1 (Ȩ)
553-553          | elixir=error:0 | js=identifier:1 (ȩ)
554-554          | elixir=error:0 | js=atom:1 (Ȫ)
555-555          | elixir=error:0 | js=identifier:1 (ȫ)
556-556          | elixir=error:0 | js=atom:1 (Ȭ)
557-557          | elixir=error:0 | js=identifier:1 (ȭ)
558-558          | elixir=error:0 | js=atom:1 (Ȯ)
559-559          | elixir=error:0 | js=identifier:1 (ȯ)
560-560          | elixir=error:0 | js=atom:1 (Ȱ)
561-561          | elixir=error:0 | js=identifier:1 (ȱ)
562-562          | elixir=error:0 | js=atom:1 (Ȳ)
563-569          | elixir=error:0 | js=identifier:1
570-571          | elixir=error:0 | js=atom:1 (ȺȻ)
572-572          | elixir=error:0 | js=identifier:1 (ȼ)
573-574          | elixir=error:0 | js=atom:1 (ȽȾ)
575-576          | elixir=error:0 | js=identifier:1 (ȿɀ)
577-577          | elixir=error:0 | js=atom:1 (Ɂ)
578-578          | elixir=error:0 | js=identifier:1 (ɂ)
579-579          | elixir=error:0 | js=atom:1 (Ƀ)
581-582          | elixir=error:0 | js=atom:1 (ɅɆ)
583-583          | elixir=error:0 | js=identifier:1 (ɇ)
584-584          | elixir=error:0 | js=atom:1 (Ɉ)
585-585          | elixir=error:0 | js=identifier:1 (ɉ)
586-586          | elixir=error:0 | js=atom:1 (Ɋ)
587-587          | elixir=error:0 | js=identifier:1 (ɋ)
590-590          | elixir=error:0 | js=atom:1 (Ɏ)
591-594          | elixir=error:0 | js=identifier:1 (ɏɐɑɒ)
597-597          | elixir=error:0 | js=identifier:1 (ɕ)
600-600          | elixir=error:0 | js=identifier:1 (ɘ)
602-602          | elixir=error:0 | js=identifier:1 (ɚ)
604-610          | elixir=error:0 | js=identifier:1
612-615          | elixir=error:0 | js=identifier:1 (ɤɥɦɧ)
618-625          | elixir=error:0 | js=identifier:1
627-648          | elixir=error:0 | js=identifier:1
650-650          | elixir=error:0 | js=identifier:1 (ʊ)
652-657          | elixir=error:0 | js=identifier:1
659-698          | elixir=error:0 | js=identifier:1
701-705          | elixir=error:0 | js=identifier:1
710-721          | elixir=error:0 | js=identifier:1
736-740          | elixir=error:0 | js=identifier:1
748-748          | elixir=error:0 | js=identifier:1 (ˬ)
750-750          | elixir=error:0 | js=identifier:1 (ˮ)
773-773          | elixir=error:0 | js=error:1 (̅)
781-794          | elixir=error:0 | js=error:1
796-802          | elixir=error:0 | js=error:1
804-805          | elixir=error:0 | js=error:1 (̤̥)
809-816          | elixir=error:0 | js=error:1
818-879          | elixir=error:0 | js=error:1
880-880          | elixir=error:0 | js=atom:1 (Ͱ)
881-881          | elixir=error:0 | js=identifier:1 (ͱ)
882-882          | elixir=error:0 | js=atom:1 (Ͳ)
883-884          | elixir=error:0 | js=identifier:1 (ͳʹ)
886-886          | elixir=error:0 | js=atom:1 (Ͷ)
887-887          | elixir=error:0 | js=identifier:1 (ͷ)
890-893          | elixir=error:0 | js=identifier:1 (ͺͻͼͽ)
895-895          | elixir=error:0 | js=atom:1 (Ϳ)
903-903          | elixir=error:0 | js=error:1 (·)
975-975          | elixir=error:0 | js=atom:1 (Ϗ)
976-977          | elixir=error:0 | js=identifier:1 (ϐϑ)
978-980          | elixir=error:0 | js=atom:1 (ϒϓϔ)
981-983          | elixir=error:0 | js=identifier:1 (ϕϖϗ)
984-984          | elixir=error:0 | js=atom:1 (Ϙ)
985-985          | elixir=error:0 | js=identifier:1 (ϙ)
986-986          | elixir=error:0 | js=atom:1 (Ϛ)
987-987          | elixir=error:0 | js=identifier:1 (ϛ)
988-988          | elixir=error:0 | js=atom:1 (Ϝ)
989-989          | elixir=error:0 | js=identifier:1 (ϝ)
990-990          | elixir=error:0 | js=atom:1 (Ϟ)
991-991          | elixir=error:0 | js=identifier:1 (ϟ)
992-992          | elixir=error:0 | js=atom:1 (Ϡ)
993-993          | elixir=error:0 | js=identifier:1 (ϡ)
1008-1011        | elixir=error:0 | js=identifier:1 (ϰϱϲϳ)
1012-1012        | elixir=error:0 | js=atom:1 (ϴ)
1013-1013        | elixir=error:0 | js=identifier:1 (ϵ)
1015-1015        | elixir=error:0 | js=atom:1 (Ϸ)
1016-1016        | elixir=error:0 | js=identifier:1 (ϸ)
1017-1018        | elixir=error:0 | js=atom:1 (ϹϺ)
1019-1020        | elixir=error:0 | js=identifier:1 (ϻϼ)
1021-1024        | elixir=error:0 | js=atom:1 (ϽϾϿЀ)
1037-1037        | elixir=error:0 | js=atom:1 (Ѝ)
1104-1104        | elixir=error:0 | js=identifier:1 (ѐ)
1117-1117        | elixir=error:0 | js=identifier:1 (ѝ)
1120-1120        | elixir=error:0 | js=atom:1 (Ѡ)
1121-1121        | elixir=error:0 | js=identifier:1 (ѡ)
1122-1122        | elixir=error:0 | js=atom:1 (Ѣ)
1123-1123        | elixir=error:0 | js=identifier:1 (ѣ)
