# NOTE: Due to Unicode character width variations, the formatting will appear
# broken in text editors. For proper viewing, use: cat mappings_comparison.txt
================================================================================

Total codepoints: 1114112
Inconsistencies found: 2210

Inconsistencies:

Codepoint | Char    | Elixir Result | JavaScript Result
55330     | invalid | -             | 55330
55331     | invalid | -             | 55331
55332     | invalid | -             | 55332
55333     | invalid | -             | 55333
55334     | invalid | -             | 55334
55335     | invalid | -             | 55335
55336     | invalid | -             | 55336
55337     | invalid | -             | 55337
55338     | invalid | -             | 55338
55339     | invalid | -             | 55339
55340     | invalid | -             | 55340
55341     | invalid | -             | 55341
55342     | invalid | -             | 55342
55343     | invalid | -             | 55343
55344     | invalid | -             | 55344
55345     | invalid | -             | 55345
55346     | invalid | -             | 55346
55347     | invalid | -             | 55347
55348     | invalid | -             | 55348
55349     | invalid | -             | 55349
55350     | invalid | -             | 55350
55351     | invalid | -             | 55351
55352     | invalid | -             | 55352
55353     | invalid | -             | 55353
55354     | invalid | -             | 55354
55355     | invalid | -             | 55355
55356     | invalid | -             | 55356
55357     | invalid | -             | 55357
55358     | invalid | -             | 55358
55359     | invalid | -             | 55359
55360     | invalid | -             | 55360
55361     | invalid | -             | 55361
55362     | invalid | -             | 55362
55363     | invalid | -             | 55363
55364     | invalid | -             | 55364
55365     | invalid | -             | 55365
55366     | invalid | -             | 55366
55367     | invalid | -             | 55367
55368     | invalid | -             | 55368
55369     | invalid | -             | 55369
55370     | invalid | -             | 55370
55371     | invalid | -             | 55371
55372     | invalid | -             | 55372
55373     | invalid | -             | 55373
55374     | invalid | -             | 55374
55375     | invalid | -             | 55375
55376     | invalid | -             | 55376
55377     | invalid | -             | 55377
55378     | invalid | -             | 55378
55379     | invalid | -             | 55379
55380     | invalid | -             | 55380
55381     | invalid | -             | 55381
55382     | invalid | -             | 55382
55383     | invalid | -             | 55383
55384     | invalid | -             | 55384
55385     | invalid | -             | 55385
55386     | invalid | -             | 55386
55387     | invalid | -             | 55387
55388     | invalid | -             | 55388
55389     | invalid | -             | 55389
55390     | invalid | -             | 55390
55391     | invalid | -             | 55391
55392     | invalid | -             | 55392
55393     | invalid | -             | 55393
55394     | invalid | -             | 55394
55395     | invalid | -             | 55395
55396     | invalid | -             | 55396
55397     | invalid | -             | 55397
55398     | invalid | -             | 55398
55399     | invalid | -             | 55399
55400     | invalid | -             | 55400
55401     | invalid | -             | 55401
55402     | invalid | -             | 55402
55403     | invalid | -             | 55403
55404     | invalid | -             | 55404
